Duty ID,Break Start Time,Break Duration,Break Stop Name
1,05:47,11,EMSLO
1,07:39,19,MTCLO
1,08:52,36,PTCLO
1,10:19,26,CTC
2,14:27,6,MTCLO
2,16:15,13,EMSLO
2,18:22,36,MTCLO
2,19:52,6,PTCLO
2,21:08,11,PHMLO
2,22:00,8,EMSLO
3,05:02,42,PHMLO
3,06:24,7,EMSLO
3,07:40,20,VaLO
3,09:08,5,EMSLO
4,15:04,8,PHMLO
4,16:01,12,EMSLO
4,17:27,56,VaLO
4,19:19,5,PHMLO
4,20:13,10,VaLO
4,21:27,5,EMSLO
5,06:00,19,EMSLO
5,07:27,44,VaLO
5,09:19,9,EMSLO
5,11:10,18,MTCLO
6,14:19,6,CTC
6,16:52,7,MTCLO
6,17:53,40,PTCLO
6,19:17,5,RiVa
6,20:29,9,EMSLO
6,21:41,12,VaLO
7,06:39,43,CiCLO
7,08:57,11,EMSLO
7,10:00,12,PHMLO
8,14:18,12,RiVa
8,15:17,7,PTCLO
8,18:19,39,PTCLO
8,19:57,6,MTCLO
9,06:25,13,EMSLO
9,07:28,11,PHMLO
9,09:02,56,PTCLO
9,10:48,17,BMTC
10,15:58,16,SDPR
10,18:53,40,MTCLO
10,21:08,20,EMSLO
11,06:42,13,EMSLO
11,08:06,37,VaLO
11,09:50,8,EMSLO
12,14:48,8,PHMLO
12,16:39,11,IMPR
12,18:49,1371,GrPR
12,18:49,36,GrPR
12,20:51,7,EMSLO
13,06:54,49,PHMLO
13,08:29,9,EMSLO
13,09:30,12,PHMLO
13,10:25,18,EMSLO
14,15:48,49,CiCLO
14,18:32,12,PHMLO
14,20:17,11,PTCLO
15,06:03,6,PHMLO
15,07:22,11,PTCLO
15,08:17,6,RiVa
15,09:27,36,MTCLO
16,16:57,11,EMSLO
16,18:06,7,PHMLO
16,19:00,8,EMSLO
16,20:16,37,VaLO
16,21:57,6,EMSLO
17,06:12,23,BeLH
17,07:18,6,PHMLO
17,08:12,7,VaLO
17,09:56,39,BeLH
17,11:27,12,PHMLO
18,14:46,28,PHMLO
18,16:31,57,PTCLO
18,19:01,12,PHMLO
18,19:56,7,EMSLO
19,06:13,15,EMSLO
19,08:09,54,MTCLO
19,10:42,16,EMSLO
20,16:23,12,BeLH
20,17:27,26,PHMLO
20,19:39,1371,GrPR
20,19:39,39,GrPR
21,07:14,14,PTCLO
21,09:00,9,PHMLO
21,10:34,59,PTCLO
21,12:17,13,RiVa
22,15:52,6,EMSLO
22,17:12,11,VaLO
22,18:19,5,PHMLO
22,19:15,38,VaLO
22,20:58,10,EMSLO
23,06:34,10,PHMLO
23,07:28,10,EMSLO
23,09:27,11,EMSLO
23,10:30,54,PHMLO
24,16:37,6,EMSLO
24,18:16,51,CiCLO
24,20:42,7,PHMLO
24,21:30,8,EMSLO
24,22:41,12,VaLO
25,07:11,11,EMSLO
25,08:32,41,VaLO
25,10:21,7,EMSLO
25,12:13,15,MTCLO
26,17:23,12,SDPR
26,20:18,40,PTCLO
26,22:09,10,PHMLO
27,16:27,6,MTCLO
27,18:18,10,EMSLO
27,20:17,56,MTCLO
27,22:43,20,EMSLO
28,15:18,17,PTC
28,16:18,12,RiVa
28,17:19,39,PTCLO
28,18:57,6,MTCLO
28,20:38,20,EMSLO
29,17:08,5,EMSLO
29,18:45,21,CiCLO
29,20:17,57,PHMLO
29,22:20,8,PTCLO
29,23:39,15,PHMLO
30,17:57,16,EMSLO
30,19:44,38,CiCLO
30,21:48,13,EMSLO
30,23:22,6,EMSLO
31,17:48,10,EMSLO
31,19:47,11,MTCLO
31,20:52,36,PTCLO
31,22:38,16,PHMLO
32,17:20,10,RiVa
32,18:18,10,PTCLO
32,19:46,28,PHMLO
32,21:22,36,PTCLO
33,18:02,17,PHMLO
33,19:52,6,PTCLO
33,20:57,46,MTCLO
34,10:30,58,EMSLO
34,13:01,51,CiCLO
34,15:27,16,EMSLO
34,16:57,17,VaLO
