Duty ID,Start Time,End Time,Start Stop Description,End Stop Description,Break Start Time,Break Duration,Break Stop Name
1,0.03:25,0.11:39,Pomona,Pomona,07:39,19,MTCLO
1,0.03:25,0.11:39,Pomona,Pomona,08:52,36,PTCLO
1,0.03:25,0.11:39,Pomona,Pomona,10:19,26,CTC
2,0.13:00,0.23:21,Pomona,Pomona,18:22,36,MTCLO
3,0.03:30,0.10:40,Pomona,Pomona,05:02,42,PHMLO
3,0.03:30,0.10:40,Pomona,Pomona,07:40,20,VaLO
4,0.13:00,0.23:23,Pomona,Pomona,17:27,56,VaLO
5,0.04:00,0.12:32,Pomona,Pomona,06:00,19,EMSLO
5,0.04:00,0.12:32,Pomona,Pomona,07:27,44,VaLO
5,0.04:00,0.12:32,Pomona,Pomona,11:10,18,MTCLO
6,0.13:13,0.23:45,Pomona,Pomona,17:53,40,PTCLO
7,0.04:10,0.11:38,Pomona,Pomona,06:39,43,CiCLO
8,0.13:18,0.22:23,Pomona,Pomona,18:19,39,PTCLO
9,0.04:15,0.12:02,Pomona,Pomona,09:02,56,PTCLO
9,0.04:15,0.12:02,Pomona,Pomona,10:48,17,BMTC
10,0.13:18,0.23:19,Pomona,Pomona,15:58,16,SDPR
10,0.13:18,0.23:19,Pomona,Pomona,18:53,40,MTCLO
10,0.13:18,0.23:19,Pomona,Pomona,21:08,20,EMSLO
11,0.04:21,0.11:58,Pomona,Pomona,08:06,37,VaLO
12,0.13:20,0.22:48,Pomona,Pomona,18:49,1371,GrPR
12,0.13:20,0.22:48,Pomona,Pomona,18:49,36,GrPR
13,0.04:25,0.12:01,Pomona,Pomona,06:54,49,PHMLO
13,0.04:25,0.12:01,Pomona,Pomona,10:25,18,EMSLO
14,0.13:23,0.22:17,Pomona,Pomona,15:48,49,CiCLO
15,0.04:30,0.12:43,Pomona,Pomona,09:27,36,MTCLO
16,0.14:35,0.23:26,Pomona,Pomona,20:16,37,VaLO
17,0.04:35,0.13:02,Pomona,Pomona,06:12,23,BeLH
17,0.04:35,0.13:02,Pomona,Pomona,09:56,39,BeLH
18,0.13:13,0.21:53,Pomona,Pomona,14:46,28,PHMLO
18,0.13:13,0.21:53,Pomona,Pomona,16:31,57,PTCLO
19,0.04:40,0.12:57,Pomona,Pomona,06:13,15,EMSLO
19,0.04:40,0.12:57,Pomona,Pomona,08:09,54,MTCLO
19,0.04:40,0.12:57,Pomona,Pomona,10:42,16,EMSLO
20,0.14:35,0.22:58,Pomona,Pomona,17:27,26,PHMLO
20,0.14:35,0.22:58,Pomona,Pomona,19:39,1371,GrPR
20,0.14:35,0.22:58,Pomona,Pomona,19:39,39,GrPR
21,0.04:44,0.13:43,Pomona,Pomona,10:34,59,PTCLO
22,0.14:10,0.22:22,Pomona,Pomona,19:15,38,VaLO
23,0.04:50,0.12:35,Pomona,Pomona,10:30,54,PHMLO
24,0.14:55,1.00:42,Pomona,Pomona,18:16,51,CiCLO
25,0.05:10,0.13:38,Pomona,Pomona,08:32,41,VaLO
25,0.05:10,0.13:38,Pomona,Pomona,12:13,15,MTCLO
26,0.14:33,0.23:50,Pomona,Pomona,20:18,40,PTCLO
27,0.15:00,1.00:26,Pomona,Pomona,20:17,56,MTCLO
27,0.15:00,1.00:26,Pomona,Pomona,22:43,20,EMSLO
28,0.15:01,0.22:49,Pomona,Pomona,15:18,17,PTC
28,0.15:01,0.22:49,Pomona,Pomona,17:19,39,PTCLO
28,0.15:01,0.22:49,Pomona,Pomona,20:38,20,EMSLO
29,0.15:25,1.01:05,Pomona,Pomona,18:45,21,CiCLO
29,0.15:25,1.01:05,Pomona,Pomona,20:17,57,PHMLO
29,0.15:25,1.01:05,Pomona,Pomona,23:39,15,PHMLO
30,0.15:35,1.01:13,Pomona,Pomona,17:57,16,EMSLO
30,0.15:35,1.01:13,Pomona,Pomona,19:44,38,CiCLO
31,0.15:43,1.00:05,Pomona,Pomona,20:52,36,PTCLO
31,0.15:43,1.00:05,Pomona,Pomona,22:38,16,PHMLO
32,0.16:05,0.23:45,Pomona,Pomona,19:46,28,PHMLO
32,0.16:05,0.23:45,Pomona,Pomona,21:22,36,PTCLO
33,0.16:13,1.00:03,Pomona,Pomona,18:02,17,PHMLO
33,0.16:13,1.00:03,Pomona,Pomona,20:57,46,MTCLO
34,0.07:47,0.19:39,Pomona,Pomona,10:30,58,EMSLO
34,0.07:47,0.19:39,Pomona,Pomona,13:01,51,CiCLO
34,0.07:47,0.19:39,Pomona,Pomona,15:27,16,EMSLO
34,0.07:47,0.19:39,Pomona,Pomona,16:57,17,VaLO
34,0.07:47,0.19:39,Pomona,Pomona,19:09,1371,GrPR
35,0.08:59,0.20:12,Pomona,Pomona,10:35,23,EMSLO
35,0.08:59,0.20:12,Pomona,Pomona,14:38,56,VaLO
36,0.09:10,0.20:22,Pomona,Pomona,10:50,23,EMSLO
36,0.09:10,0.20:22,Pomona,Pomona,14:54,51,VaLO
37,0.05:30,0.19:05,Pomona,Pomona,09:21,263,Pomona
37,0.05:30,0.19:05,Pomona,Pomona,16:27,15,SDPR
38,0.05:30,0.19:09,Pomona,Pomona,09:11,258,Pomona
38,0.05:30,0.19:09,Pomona,Pomona,16:03,1377,GrPR
39,0.05:30,0.19:04,Pomona,Pomona,09:49,265,Pomona
40,0.05:30,0.19:03,Pomona,Pomona,07:49,19,EMSLO
40,0.05:30,0.19:03,Pomona,Pomona,09:36,232,Pomona
40,0.05:30,0.19:03,Pomona,Pomona,14:11,19,CiGL
41,0.05:42,0.19:18,Pomona,Pomona,09:20,15,BeLH
41,0.05:42,0.19:18,Pomona,Pomona,11:03,237,Pomona
42,0.05:46,0.19:23,Pomona,Pomona,11:02,223,Pomona
42,0.05:46,0.19:23,Pomona,Pomona,17:04,1376,GrPR
43,0.05:50,0.19:10,Pomona,Pomona,07:53,17,EMSLO
43,0.05:50,0.19:10,Pomona,Pomona,09:34,236,Pomona
43,0.05:50,0.19:10,Pomona,Pomona,15:27,15,PHMLO
44,0.05:50,0.19:19,Pomona,Pomona,09:01,27,EMSLO
44,0.05:50,0.19:19,Pomona,Pomona,10:46,254,Pomona
44,0.05:50,0.19:19,Pomona,Pomona,16:20,18,CTC
45,0.05:50,0.19:25,Pomona,Pomona,09:48,17,BMTC
45,0.05:50,0.19:25,Pomona,Pomona,11:02,183,Pomona
45,0.05:50,0.19:25,Pomona,Pomona,16:27,16,VaLO
46,0.05:55,0.19:35,Pomona,Pomona,10:00,240,Pomona
47,0.05:55,0.19:33,Pomona,Pomona,08:27,16,MTCLO
47,0.05:55,0.19:33,Pomona,Pomona,11:03,237,Pomona
48,0.05:58,0.19:38,Pomona,Pomona,09:56,243,Pomona
48,0.05:58,0.19:38,Pomona,Pomona,16:33,1377,GrPR
49,0.06:05,0.19:42,Pomona,Pomona,07:15,15,RiVa
49,0.06:05,0.19:42,Pomona,Pomona,08:13,15,PTCLO
49,0.06:05,0.19:42,Pomona,Pomona,11:39,238,Pomona
50,0.06:10,0.19:34,Pomona,Pomona,09:00,28,EMSLO
50,0.06:10,0.19:34,Pomona,Pomona,11:34,266,Pomona
50,0.06:10,0.19:34,Pomona,Pomona,18:12,16,ToMa
51,0.06:11,0.19:47,Pomona,Pomona,07:50,20,EMSLO
51,0.06:11,0.19:47,Pomona,Pomona,10:25,287,Pomona
51,0.06:11,0.19:47,Pomona,Pomona,17:25,15,ToMa
51,0.06:11,0.19:47,Pomona,Pomona,18:29,15,DuDs
52,0.06:11,0.19:05,Pomona,Pomona,10:10,18,MTCLO
52,0.06:11,0.19:05,Pomona,Pomona,11:32,178,Pomona
53,0.06:13,0.19:51,Pomona,Pomona,09:06,17,VaLO
53,0.06:13,0.19:51,Pomona,Pomona,11:28,177,Pomona
53,0.06:13,0.19:51,Pomona,Pomona,18:09,21,EMSLO
54,0.06:17,0.19:54,Pomona,Pomona,10:04,24,EMSLO
54,0.06:17,0.19:54,Pomona,Pomona,11:46,199,Pomona
54,0.06:17,0.19:54,Pomona,Pomona,17:27,16,EMSLO
55,0.06:30,0.19:58,Pomona,Pomona,09:40,18,EMSLO
55,0.06:30,0.19:58,Pomona,Pomona,11:16,213,Pomona
56,0.06:31,0.20:02,Pomona,Pomona,09:35,278,Pomona
56,0.06:31,0.20:02,Pomona,Pomona,17:25,1375,GrPR
56,0.06:31,0.20:02,Pomona,Pomona,17:25,16,GrPR
56,0.06:31,0.20:02,Pomona,Pomona,18:48,17,BMTC
57,0.06:32,0.20:07,Pomona,Pomona,08:41,17,EMSLO
57,0.06:32,0.20:07,Pomona,Pomona,10:16,253,Pomona
58,0.07:05,0.20:44,Pomona,Pomona,07:55,21,MoHa
58,0.07:05,0.20:44,Pomona,Pomona,10:00,28,EMSLO
58,0.07:05,0.20:44,Pomona,Pomona,12:34,255,Pomona
58,0.07:05,0.20:44,Pomona,Pomona,19:16,24,ToMa
59,0.07:40,0.20:42,Pomona,Pomona,09:44,16,ToMa
59,0.07:40,0.20:42,Pomona,Pomona,12:02,185,Pomona
59,0.07:40,0.20:42,Pomona,Pomona,18:28,16,ToMa
60,0.04:20,0.13:48,Pomona,Pomona,09:37,36,VaLO
