Duty ID,Start Time,End Time,Start Stop Description,End Stop Description
1,0.03:25,0.11:39,Pomona,Pomona
2,0.13:00,0.23:21,Pomona,Pomona
3,0.03:30,0.10:40,Pomona,Pomona
4,0.13:00,0.23:23,Pomona,Pomona
5,0.04:00,0.12:32,Pomona,Pomona
6,0.13:13,0.23:45,Pomona,Pomona
7,0.04:10,0.11:38,Pomona,Pomona
8,0.13:18,0.22:23,Pomona,Pomona
9,0.04:15,0.12:02,Pomona,Pomona
10,0.13:18,0.23:19,Pomona,Pomona
11,0.04:21,0.11:58,Pomona,Pomona
12,0.13:20,0.22:48,Pomona,Pomona
13,0.04:25,0.12:01,Pomona,Pomona
14,0.13:23,0.22:17,Pomona,Pomona
15,0.04:30,0.12:43,Pomona,Pomona
16,0.14:35,0.23:26,Pomona,Pomona
17,0.04:35,0.13:02,Pomona,Pomona
18,0.13:13,0.21:53,Pomona,Pomona
19,0.04:40,0.12:57,Pomona,Pomona
20,0.14:35,0.22:58,Pomona,Pomona
21,0.04:44,0.13:43,Pomona,Pomona
22,0.14:10,0.22:22,Pomona,Pomona
23,0.04:50,0.12:35,Pomona,Pomona
24,0.14:55,1.00:42,Pomona,Pomona
25,0.05:10,0.13:38,Pomona,Pomona
26,0.14:33,0.23:50,Pomona,Pomona
27,0.15:00,1.00:26,Pomona,Pomona
28,0.15:01,0.22:49,Pomona,Pomona
29,0.15:25,1.01:05,Pomona,Pomona
30,0.15:35,1.01:13,Pomona,Pomona
31,0.15:43,1.00:05,Pomona,Pomona
32,0.16:05,0.23:45,Pomona,Pomona
33,0.16:13,1.00:03,Pomona,Pomona
34,0.07:47,0.19:39,Pomona,Pomona
35,0.08:59,0.20:12,Pomona,Pomona
36,0.09:10,0.20:22,Pomona,Pomona
37,0.05:30,0.19:05,Pomona,Pomona
38,0.05:30,0.19:09,Pomona,Pomona
39,0.05:30,0.19:04,Pomona,Pomona
40,0.05:30,0.19:03,Pomona,Pomona
41,0.05:42,0.19:18,Pomona,Pomona
42,0.05:46,0.19:23,Pomona,Pomona
43,0.05:50,0.19:10,Pomona,Pomona
44,0.05:50,0.19:19,Pomona,Pomona
45,0.05:50,0.19:25,Pomona,Pomona
46,0.05:55,0.19:35,Pomona,Pomona
47,0.05:55,0.19:33,Pomona,Pomona
48,0.05:58,0.19:38,Pomona,Pomona
49,0.06:05,0.19:42,Pomona,Pomona
50,0.06:10,0.19:34,Pomona,Pomona
51,0.06:11,0.19:47,Pomona,Pomona
52,0.06:11,0.19:05,Pomona,Pomona
53,0.06:13,0.19:51,Pomona,Pomona
54,0.06:17,0.19:54,Pomona,Pomona
55,0.06:30,0.19:58,Pomona,Pomona
56,0.06:31,0.20:02,Pomona,Pomona
57,0.06:32,0.20:07,Pomona,Pomona
58,0.07:05,0.20:44,Pomona,Pomona
59,0.07:40,0.20:42,Pomona,Pomona
60,0.04:20,0.13:48,Pomona,Pomona
61,0.13:53,0.19:19,Pomona,Pomona
62,0.05:22,0.17:05,Pomona,Pomona
63,0.17:17,0.22:59,Pomona,Pomona
64,0.03:40,0.13:28,Pomona,Pomona
65,0.03:50,0.14:38,Pomona,Pomona
66,0.03:55,0.13:38,Pomona,Pomona
67,0.03:55,0.14:58,Pomona,Pomona
68,0.04:00,0.13:02,Pomona,Pomona
69,0.04:05,0.13:45,Pomona,Pomona
70,0.04:00,0.13:28,Pomona,Pomona
71,0.04:10,0.15:34,Pomona,Pomona
72,0.04:25,0.14:06,Pomona,Pomona
73,0.04:25,0.13:39,Pomona,Pomona
74,0.04:26,0.14:02,Pomona,Pomona
75,0.04:30,0.13:56,Pomona,Pomona
76,0.04:42,0.15:26,Pomona,Pomona
77,0.04:50,0.13:58,Pomona,Pomona
78,0.04:55,0.15:10,Pomona,Pomona
79,0.04:55,0.16:18,Pomona,Pomona
